Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,13.5,,5.6,36.3,0
,,,,,
,7.7,,22.4,,
,,,,,
,,,,,
41.9,12.3,100,8.5,91.3,19.9
46.4,,,,,
27,5,100,6.2,77.5,50
,,,,,
0.9,12.7,,,,0.9
12.4,15.1,,13,85.1,3.6
5.6,20.5,,13.8,56.5,5.7
,10.8,,19.5,,0
,,100,,,
9.9,14.7,100,19,76.4,
12.3,14.3,0,23.4,42.7,5.5
14.3,13.7,,15.6,64.6,
,,,,,
17.4,13,100,15.1,,7.6
8.1,9.3,100,24.3,65.5,0.5
15.8,9,100,,,3.2
27,10.6,,13.3,72,7.1
,,,,,
24.3,8.4,,,,5.5
,,,24,,0
,,,,,
,,,11.5,,
25.9,4.6,100,21,,3.6
,,,,,
28,11,100,14,61,
,,,,,38
,,,,,
82.6,4.3,100,7,,15.4
,,,,100,
10,,,,,
0,,100,37,43,0
21.1,10.1,100,10.6,71.4,9
,,,,,
20.4,10.2,100,12.6,71.2,6.9
,,,,,
,,,,,
100,,,,,
,,,,,
,,,,,
,,,,,
30.3,3,,10.4,69.8,5
8.2,6.3,100,19.7,32.8,0
83,8.5,,6.3,,100
,,,,,
,3.7,,,,11
,,,,,
,,,,,
6.4,8,100,10,,1
5.8,12.9,99.4,20.6,64.8,14.5
,15.3,100,,,6.3
47,,,,50,
40,13,100,4,50.5,7.8
16.4,12.3,100,,53,0
36.8,12.8,100,24.5,58.5,3.7
26,13.1,100,11.3,66.7,3.4
,,,,,
,,,,,
,,,,,
22.6,14.3,100,14,33.4,
1.6,,,,,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
89.7,,3.3,12.4,55,90.4
0,0,0,20,10,0
,,,,,
,,,,,90
60,7.4,,28.5,51.3,0
0,0,,20,0,0
,,,,,
,,,,,0
15,2,,,,0
,,,,,
0,,,,,10
,,,,,
,,100,,,
,,,,,
,,,,,
76.6,8.4,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,93.1
,,,,,
11.9,13.8,100,7.3,55.6,
,7.3,,,,
0,,,16.8,,
40,3.9,,3.3,,50
,,,,,
,,,,,
,,,,,
,,,,,
38.7,4.8,0,1.2,85.5,33.3
10,,,10,97,
,,,,,
,14.3,,16.1,,0.9
,7,,,,23.5
25.6,12.1,100,2.5,55.1,6.3
16,7,100,20,45,1
24,12.6,100,10.9,,12.4
34.3,,,,,
7.8,,,,83.2,
,,,,,
11.2,15.7,100,16.2,98,3.3
10,8.8,,30.3,89.6,0.6
8,9.8,100,,82.6,2
,,,,,
80,,,5,,
,,,,,
,,,,,
74.8,8,,2.4,58.1,60
11,12.5,100,23.4,82.7,1
,10.1,,,70,0
6.5,,40,28.6,40,0
9,13,100,30,70,3
,,,,71.8,4.9
15.6,21,100,,89.4,2.8
,15.3,,,94.4,
,,,,,
26,14.7,100,28,100,0
,,,,,
,,,,,
,,,,,
,,,,52,
,,,,,
58.8,4.2,100,0,64.3,50
,,,,,31.5
,,,,,
,7.7,,1,,31.3
,,,,,
,,,,,
16,,100,,74,
38,12,100,26,,
39,,,,43,3
,3.1,,,,
,,,14,52.7,34.2
14.8,,,,56,6
,,,,,
,,,,,
,,,,,0
62.5,,0,,21,
,,,,,
